1	0
2	0
3	1
4	1
5	2
6	2
7	3
8	3
9	4
10	4
11	5
12	5
13	6
14	6
15	7
16	7
17	8
18	8
19	9
20	9
21	10
22	10
23	11
24	11
25	12
26	12
27	13
28	13
29	14
30	14
31	15
32	15
33	16
34	16
35	17
36	17
37	18
38	18
39	19
40	19
41	20
42	20
43	21
44	21
45	22
46	22
47	23
48	23
49	24
50	24
51	25
52	25
53	26
54	26
55	27
56	27
57	28
58	28
59	29
60	29
61	30
62	30
63	31
64	31
65	32
66	32
67	33
68	33
69	34
70	34
71	35
72	35
73	36
74	36
75	37
76	37
77	38
78	38
79	39
80	39
81	40
82	40
83	41
84	41
85	42
86	42
87	43
88	43
89	44
90	44
91	45
92	45
93	46
94	46
95	47
96	47
97	48
98	48
99	49
100	49
101	50
102	50
103	51
104	51
105	52
106	52
107	53
108	53
109	54
110	54
111	55
112	55
113	56
114	56
115	57
116	57
117	58
118	58
119	59
120	59
121	60
122	60
123	61
124	61
125	62
126	62
127	63
128	63
129	64
130	64
131	65
132	65
133	66
134	66
135	67
136	67
137	68
138	68
139	69
140	69
141	70
142	70
143	71
144	71
145	72
146	72
147	73
148	73
149	74
150	74
151	75
152	75
153	76
154	76
155	77
156	77
157	78
158	78
159	79
160	79
161	80
162	80
163	81
164	81
165	82
166	82
167	83
168	83
169	84
170	84
171	85
172	85
173	86
174	86
175	87
176	87
177	88
178	88
179	89
180	89
181	90
182	90
183	91
184	91
185	92
186	92
187	93
188	93
189	94
190	94
191	95
192	95
193	96
194	96
195	97
196	97
197	98
198	98
199	99
200	99
201	100
202	100
203	101
204	101
205	102
206	102
207	103
208	103
209	104
210	104
211	105
212	105
213	106
214	106
215	107
216	107
217	108
218	108
219	109
220	109
221	110
222	110
223	111
224	111
225	112
226	112
227	113
228	113
229	114
230	114
231	115
232	115
233	116
234	116
235	117
236	117
237	118
238	118
239	119
240	119
241	120
242	120
243	121
244	121
245	122
246	122
247	123
248	123
249	124
250	124
251	125
252	125
253	126
254	126
255	127
256	127
257	128
258	128
259	129
260	129
261	130
262	130
263	131
264	131
265	132
266	132
267	133
268	133
269	134
270	134
271	135
272	135
273	136
274	136
275	137
276	137
277	138
278	138
279	139
280	139
281	140
